Geography,avgAnnCount,avgDeathsPerYear,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,binnedInc,MedianAge,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds,BirthRate,TARGET_deathRate,City,State,Region,Division
"Summit County, Utah",142.0,32,432.7,74146,39633.0,6.8,25.231499,8,38.2,37.8,38.4,2.75,63.2,15.3,34.7,40.977034120734906,14.8,15.5,26.849999999999998,70.8,3.2,81.2,69.1,60.0,13.5,6.8,94.90148231,0.532177254,1.954777913,1.209729758,63.7754003,4.14207772,123.6,249,39,3,3
"Quay County, New Mexico",56.0,27,412.7,29069,8455.0,23.9,0.0,9,45.7,43.7,48.2,2.59,45.0,34.7,36.3,40.977034120734906,4.1,38.8,9.1,41.6,5.0,54.8,48.45377358490566,29.3,51.2,25.9,89.99770062,2.207404001,0.632329271,4.196506469,42.24678817,4.063068526,190.6,210,26,3,3
"Benewah County, Idaho",61.0,28,468.9,46277,9052.0,15.7,0.0,4,45.4,45.4,45.5,2.45,52.3,15.8,53.5,40.977034120734906,2.0,40.8,8.0,49.3,10.1,56.2,40.4,34.0,37.6,20.9,86.78477113,0.473151408,0.539172535,0.132042254,48.14612868,5.089647195,222.2,14,7,3,3
"Sullivan County, New York",451.0,170,474.3,48908,74877.0,16.3,0.0,5,42.2,41.5,42.9,2.54,45.5,20.3,29.3,40.977034120734906,8.4,34.0,12.3,52.2,11.5,62.2,48.45377358490566,42.2,41.4,23.7,81.23411503,8.594261758,1.635005895,4.196506469,45.25418955,5.516819572,178.8,248,27,1,2
"Oklahoma County, Oklahoma",1113.5,354,454.5,48226,169831.5,17.9,201.76685685,5,34.2,33.0,35.5,2.53,46.7,17.1,29.6,40.977034120734906,9.8,25.3,19.8,60.8,6.0,61.5,48.9,42.0,31.4,18.7,68.89592832,14.79376524,2.628021743,3.267150885,43.15419198,6.473896102,186.1,185,31,2,8
"Murray County, Georgia",176.0,77,453.0,40976,39565.0,18.7,0.0,2,37.2,36.4,38.3,2.75,54.4,24.8,34.1,40.977034120734906,2.1,36.8,6.4,52.9,11.1,53.2,44.5,41.6,33.8,21.1,95.07880511,0.9162204,0.43146113,2.169995685,54.97330711,3.893548721,204.0,175,6,2,6
"Hopkins County, Kentucky",286.0,117,492.4,42477,46222.0,16.9,201.76685685,2,40.8,39.3,42.2,2.45,53.7,17.1,38.4,40.977034120734906,5.0,39.5,8.5,52.3,6.7,65.9,51.5,46.2,34.9,18.8,90.13070209,5.943935681,0.472935208,0.485833441,51.64858769,4.65182921,196.7,113,12,2,1
"Jerome County, Idaho",92.0,31,441.3,46513,22814.0,15.7,0.0,4,32.1,31.8,32.5,2.95,59.9,26.6,39.4,40.977034120734906,1.6,28.2,10.4,59.9,6.6,50.8,48.45377358490566,32.2,32.6,21.0,91.75826601,0.083874101,0.560632146,4.196506469,58.81427072,8.495681864,147.6,121,7,3,3
"Marlboro County, South Carolina",161.0,73,494.7,31170,27494.0,31.4,0.0,9,39.4,36.7,43.3,2.5,38.6,25.1,34.7,40.977034120734906,1.0,41.0,5.5,41.7,15.5,49.8,48.45377358490566,32.6,47.3,29.5,41.29961062,28.295456226500004,0.267924124,1.2538849,41.2160804,6.399574544,231.1,153,35,2,6
"Howard County, Iowa",60.0,24,465.5,49837,9410.0,12.1,0.0,5,42.2,41.7,42.5,2.39,56.9,20.9,26.2,40.977034120734906,3.5,44.0,7.9,63.5,3.4,74.4,54.3,44.0,36.1,15.2,98.25152728,0.326522014,0.221192332,0.105329682,53.52986811,6.748466258,165.8,116,10,0,7
"Laurens County, Georgia",253.0,98,451.7,35807,47731.0,25.4,62.8522344,0,38.5,37.1,39.7,2.65,45.0,24.3,41.3,40.977034120734906,3.8,43.6,7.7,45.5,6.6,57.4,43.9,40.0,39.0,22.8,61.32690139,28.295456226500004,1.052499687,0.325773713,45.14172336,4.598218303,169.7,133,6,2,6
"Gasconade County, Missouri",105.0,43,481.0,44065,14858.0,13.5,0.0,3,45.6,44.9,47.2,2.35,56.6,8.8,38.5,40.977034120734906,7.5,43.2,10.3,54.2,6.1,69.8,54.3,47.2,35.2,17.9,97.75220765,0.44153064,0.287663902,0.060208724,53.82644893,6.720977597,180.8,93,20,0,7
"Cole County, Missouri",376.0,139,458.6,51885,76720.0,13.3,201.76685685,6,38.0,36.8,39.4,2.44,49.3,18.7,29.9,40.977034120734906,7.3,31.1,21.0,59.1,4.9,75.5,61.0,56.4,27.6,13.1,83.18503129,11.62243738,1.136764533,1.74957208,48.27492529,6.328460877,168.6,50,20,0,7
"Calhoun County, Georgia",33.0,12,488.6,30760,6479.0,32.099999999999994,0.0,9,38.2,36.5,41.3,2.13,33.6,36.1,46.1,17.8,0.0,38.6,6.0,37.1,7.7,45.2,34.4,30.9,42.4,25.4,33.94976113,28.295456226500004,0.585606411,3.25165665,35.62091503,7.258753202,162.8,34,6,2,6
"Somerset County, Maryland",151.0,64,511.9,38376,25768.0,25.5,0.0,1,37.0,36.2,38.6,2.26,32.3,12.6,24.6,40.977034120734906,1.2,43.2,9.1,54.15264248704664,8.2,56.2,41.6,37.3,46.8,30.8,52.74441878,28.295456226500004,1.058506543,1.454965358,37.85330948,5.312389693,216.5,236,15,2,6
"Northumberland County, Pennsylvania",620.0,248,471.7,40429,93246.0,15.9,0.0,2,52.349999999999994,41.6,46.2,2.27,50.4,22.0,40.2,40.977034120734906,7.9,50.3,9.4,52.7,7.2,71.8,48.45377358490566,46.5,37.0,16.0,95.23966555,2.855136906,0.346786375,0.371252899,47.97968254,5.713833492,177.5,181,33,1,2
"Dodge County, Nebraska",236.0,94,487.5,50043,36706.0,12.9,27.24350242,5,39.4,38.3,40.4,2.37,55.8,16.3,31.9,40.977034120734906,8.3,36.8,13.4,63.7,5.1,72.7,55.3,48.2,30.8,13.7,95.82573179,0.49012934,0.577263445,0.313138189,52.27663799,7.218949743,177.9,71,22,0,7
"Greene County, Missouri",1113.5,354,434.6,40386,169831.5,20.6,201.76685685,2,35.6,34.5,37.2,2.31,47.4,8.2,23.1,40.977034120734906,9.8,27.9,19.0,58.9,6.8,67.6,54.4,46.9,29.5,15.9,91.03797236,3.142235687,1.769736517,0.727738819,44.69897734,5.445266147,173.6,103,20,0,7
"Monroe County, Arkansas",61.0,28,515.3,30682,7399.0,28.1,0.0,9,45.2,43.7,46.9,2.27,42.7,26.4,37.1,34.4,2.1,41.2,7.7,44.9,12.8,42.4,26.7,22.4,56.0,33.5,55.91857902,28.295456226500004,0.5445352,1.166861144,37.93103448,9.781931464,229.9,170,1,2,8
"Buena Vista County, Iowa",102.0,39,426.3,50719,20493.0,12.4,0.0,5,35.9,34.7,36.9,2.55,53.1,15.5,22.4,40.977034120734906,2.3,31.0,12.3,67.6,3.7,70.7,48.45377358490566,48.1,31.3,16.4,81.00160921,2.877066368,2.628021743,4.196506469,51.84020956,6.872775801,149.1,29,10,0,7
"Swain County, North Carolina",93.0,39,516.6,34788,14434.0,19.3,0.0,0,40.7,40.1,41.3,2.58,49.5,13.9,34.8,40.977034120734906,4.4,31.2,10.7,49.4,7.7,51.9,37.3,30.7,39.4,22.6,64.63319918,1.525100614,0.529548824,0.473063616,49.22848113,5.56091289,215.3,252,28,2,6
"Pennington County, South Dakota",494.0,187,442.5,48379,108702.0,14.1,201.76685685,5,37.1,35.8,38.7,2.46,49.9,12.9,31.0,40.977034120734906,5.7,28.1,18.6,64.6,4.8,69.1,50.9,40.2,32.9,15.7,82.96460386,1.282933497,1.081208465,0.623085262,47.95056395,5.830321072,159.7,194,36,0,7
"Dallas County, Alabama",252.0,108,503.7,26602,41131.0,32.099999999999994,0.0,9,38.7,36.2,40.0,2.53,33.4,17.7,35.9,40.977034120734906,3.1,34.6,8.2,43.5,16.4,48.1,33.8,28.5,50.4,32.8,28.66869099,28.295456226500004,0.341604593,0.16131328,30.98763176,8.433257358,217.4,61,0,2,1
"Newton County, Mississippi",116.0,48,457.9,35185,21747.0,22.3,0.0,0,37.7,37.1,38.3,2.61,48.9,17.9,30.0,40.977034120734906,5.8,30.1,10.6,49.7,10.6,58.2,44.1,38.3,38.4,21.6,63.23685547,28.295456226500004,0.25388912,0.189262798,48.2711272,4.476744186,185.3,180,19,2,1
"Torrance County, New Mexico",108.0,32,558.5,37311,15485.0,27.6,64.57862448,0,43.3,43.1,43.5,2.81,49.1,32.0,30.9,40.977034120734906,2.3,34.2,10.4,41.6,11.2,42.0,30.1,24.8,52.1,35.2,89.53510377,1.26789882,0.025231817,2.889043083,50.52141527,2.98792117,164.3,258,26,3,3
"Pawnee County, Kansas",1113.5,18,453.5494221,47351,6838.0,13.9,146.2415911,4,43.1,41.5,48.2,2.32,46.2,26.0,23.2,40.977034120734906,1.2,28.0,12.7,51.6,1.9,72.8,53.2,42.1,32.8,15.2,90.65258284,4.847344813,0.0,1.620604833,45.76802508,1.121656601,182.5,192,11,0,7
"Stark County, North Dakota",126.0,43,425.7,74146,32154.0,7.6,31.10032966,8,35.0,34.2,36.0,2.44,55.8,13.0,26.8,40.977034120734906,10.0,30.5,17.5,71.4,2.8,83.3,68.0,55.9,19.6,5.9,92.62610032,1.114293698,1.25751013,1.844348191,52.61446524,10.2772450535,131.8,243,29,0,7
"Bosque County, Texas",107.0,55,393.2,44397,17891.0,15.0,0.0,3,46.0,45.3,46.7,2.52,57.8,16.3,37.7,40.977034120734906,4.0,34.7,11.5,49.5,7.9,59.9,48.45377358490566,35.0,36.3,16.9,94.16838239,1.496856046,0.445161649,1.541372211,57.03671953,3.008595989,190.7,23,38,2,8
"Scott County, Arkansas",60.0,30,410.0,33202,10513.0,23.7,0.0,9,41.3,40.1,42.9,2.66,56.8,10.5,43.1,40.977034120734906,1.2,39.6,6.9,49.9,10.9,56.8,39.7,33.7,44.6,24.7,89.48482061,0.165593376,2.628021743,2.5574977,56.99136868,3.421727973,207.4,231,1,2,8
"New Madrid County, Missouri",105.0,57,438.4,34631,18208.0,23.3,0.0,0,40.5,38.7,42.1,2.49,47.4,16.3,57.3,40.977034120734906,1.4,41.3,6.8,50.1,8.8,48.3,37.9,32.9,43.3,26.2,81.46216936,16.1588181,0.092336103,0.260713704,44.48737409,5.174548155,229.7,178,20,0,7
"Dimmit County, Texas",37.0,18,328.3,36856,10980.0,25.0,0.0,0,34.6,35.1,34.4,2.96,36.6,25.5,40.9,40.977034120734906,0.0,29.8,7.2,54.15264248704664,10.3,38.9,33.5,31.0,40.3,30.4,95.31922861,0.458715596,0.215315484,3.819509455,37.16367713,2.542372881,148.0,68,38,2,8
"Red River Parish, Louisiana",46.0,18,431.7,33322,8593.0,25.3,0.0,9,39.8,36.8,41.6,2.54,44.2,19.0,37.4,40.977034120734906,3.1,44.3,8.7,47.0,9.2,51.4,41.0,35.2,41.3,26.0,58.68974881,28.295456226500004,0.07920344,0.418646753,41.70064065,10.2772450535,172.2,215,13,2,8
"Schuyler County, Missouri",22.0,13,368.6,34644,4436.0,18.2,0.0,0,41.3,39.0,41.9,2.52,57.8,28.6,28.3,40.977034120734906,5.0,45.9,7.9,54.9,7.4,57.9,39.8,34.9,38.1,18.7,97.99772469,0.3185438,0.273037543,0.0,55.69105691,7.524536532,208.7,230,20,0,7
"Fayette County, Georgia",554.0,168,455.4,74146,110714.0,6.9,72.25825099,8,43.3,42.0,44.2,2.8,60.0,19.9,26.9,40.977034120734906,13.0,21.5,26.849999999999998,57.8,7.6,80.4,64.8,54.9,24.0,9.9,70.97786572,20.82923013,2.628021743,1.227739174,65.2835085,3.49249879,140.8,86,6,2,6
"Morgan County, Alabama",653.0,258,472.8,45082,119565.0,15.0,8.36365157,3,39.5,38.0,41.4,2.55,51.4,20.0,34.8,40.977034120734906,4.8,31.0,14.4,54.1,9.9,65.8,49.7,43.6,33.4,17.0,82.68996377,12.28607684,0.601071912,1.516871755,50.54828593,4.808108498,184.9,173,0,2,1
"Colbert County, Alabama",317.0,140,443.3,43057,54354.0,16.7,201.76685685,3,42.2,40.7,43.7,2.43,51.1,20.8,31.3,40.977034120734906,3.5,34.5,11.3,48.2,9.0,67.2,48.45377358490566,43.9,37.5,18.3,79.55146573,15.57196385,0.326941444,1.261847035,48.16699694,3.673864003,190.5,49,0,2,1
"Sherman County, Nebraska",20.0,10,400.6,43883,3091.0,12.1,0.0,3,49.5,47.7,50.5,2.21,61.0,11.9,14.8,40.977034120734906,14.2,42.3,10.0,62.2,3.1,75.6,55.9,44.3,35.3,14.8,97.90794979,1.223044738,0.193112327,0.418410042,53.95787945,7.992565056,187.4,234,22,0,7
"Clay County, Kansas",1113.5,24,453.5494221,53131,8347.0,10.9,0.0,6,42.2,41.1,44.1,2.45,62.3,7.7,26.5,40.977034120734906,15.2,33.7,16.0,63.2,1.9,80.2,57.4,43.3,33.8,12.2,96.71060444,0.605628785,0.546253414,0.201876262,59.69795677,6.744328633,169.2,45,11,0,7
"Tattnall County, Georgia",121.0,54,482.0,34010,25229.0,28.2,0.0,9,36.2,35.3,38.5,2.46,43.4,36.85,27.2,25.8,0.6,38.0,6.9,35.5,7.9,57.2,42.0,35.2,37.2,20.8,61.03865307,28.295456226500004,0.343846336,4.196506469,50.55837563,8.461219411,216.4,255,6,2,6
"Maries County, Missouri",35.0,24,287.4,40165,8963.0,16.1,0.0,1,44.2,43.7,44.7,2.44,54.8,29.5,28.4,40.977034120734906,0.0,42.8,10.3,49.3,10.0,60.6,45.7,36.5,39.6,22.9,96.41161533,0.419564977,0.607265099,0.342276692,53.58111774,7.791479821,187.4,151,20,0,7
"Vermilion County, Illinois",529.0,217,520.2,42036,79282.0,19.0,201.76685685,2,40.0,38.4,41.7,2.47,45.9,18.9,39.6,40.977034120734906,3.3,40.6,9.6,51.4,10.7,63.4,45.3,41.3,42.6,24.1,82.78916982,13.83759705,0.817489548,0.790115469,44.07408582,5.395305384,203.1,264,8,0,0
"Roberts County, South Dakota",47.0,25,365.5,45911,10311.0,20.4,0.0,4,39.2,39.0,39.3,2.74,45.6,29.6,35.8,40.977034120734906,3.6,37.5,11.2,57.3,7.6,56.7,42.0,31.1,36.8,21.2,59.92440395,0.416747432,0.096918007,0.048459004,46.49507119,7.142857143,179.9,218,36,0,7
"Hot Springs County, Wyoming",37.0,13,484.2,44427,4741.0,10.9,0.0,3,49.6,48.1,50.1,2.15,55.9,15.7,7.1,40.977034120734906,4.5,30.8,13.1,59.2,3.3,65.1,41.6,34.0,40.7,16.5,96.46496153,0.249532127,0.332709503,0.519858598,48.76260312,10.2772450535,163.0,114,45,3,3
"Mingo County, West Virginia",163.0,76,507.0,29839,25292.0,28.1,0.0,9,41.7,40.4,42.7,2.38,55.6,17.2,47.3,40.977034120734906,0.6,41.0,5.4,38.1,14.1,51.6,35.6,34.1,50.9,31.3,96.08962246,1.415294435,0.408777139,0.327792989,52.14865363,2.796024928,240.8,168,43,2,6
"Boone County, Arkansas",210.0,102,426.3,39779,37222.0,16.9,0.0,1,41.4,40.4,42.7,2.45,57.7,10.6,34.4,40.977034120734906,4.3,35.9,9.3,51.6,8.4,59.2,42.8,36.5,43.5,24.3,96.54014559,0.354581352,0.456657802,0.042979558,54.9562195,9.035846724,198.2,22,1,2,8
"San Benito County, California",216.0,75,433.0,68166,58792.0,14.1,102.0547013,8,35.0,34.2,35.7,2.995,51.0,10.5,38.1,40.977034120734906,5.1,24.4,13.4,60.1,12.2,64.5,54.1,48.4,31.2,20.5,84.53185538,0.780096252,2.628021743,4.196506469,59.57669496,6.536926148,150.4,223,2,3,5
"Park County, Colorado",74.0,23,402.1,58487,16510.0,9.4,0.0,7,49.4,49.7,49.0,2.2,59.2,16.9,41.4,28.6,13.0,25.5,20.4,63.8,5.6,71.8,48.45377358490566,45.9,28.1,15.2,95.8860955,0.0,0.963617271,0.148248811,53.94179533,4.06824147,137.9,190,3,3,3
"Randolph County, West Virginia",161.0,68,405.2,37468,29126.0,20.8,0.0,1,43.2,41.7,45.1,2.35,52.2,24.3,35.7,40.977034120734906,7.6,46.3,10.6,48.7,6.7,59.6,43.1,40.5,43.3,23.4,96.90447812,1.924059254,0.17708156,0.08854078,51.97613076,4.231027535,168.6,213,43,2,6
"Essex County, Vermont",48.0,17,492.7,35570,6163.0,19.6,0.0,0,48.8,49.0,48.6,2.29,53.9,18.6,38.7,40.977034120734906,9.4,43.3,10.7,54.15264248704664,9.4,55.3,38.7,32.1,51.6,29.2,96.66505558,0.612212019,0.386660222,0.225551796,49.83339504,4.942339374,171.3,82,40,1,4
"Santa Rosa County, Florida",708.0,314,426.5,58587,167040.0,11.2,0.0,7,39.5,38.0,41.2,2.65,54.8,16.2,37.6,40.977034120734906,7.5,28.0,17.9,52.5,7.9,70.5,52.7,38.6,30.5,14.6,85.85898734,5.729687432,1.944466871,1.448258302,58.13925734,5.465692312,190.7,227,5,2,6
"Logan County, West Virginia",245.0,113,523.9,36437,34707.0,20.2,28.81263146,0,42.6,41.5,44.1,2.5,53.1,15.0,45.9,40.977034120734906,2.2,41.6,5.5,40.5,10.9,56.1,40.5,39.9,45.5,25.8,96.44574944,2.192393736,0.363534676,0.164988814,52.33924375,4.195713917,240.1,141,43,2,6
"Sumter County, Alabama",70.0,35,433.9,25413,13103.0,32.099999999999994,0.0,9,36.7,36.0,38.7,2.61,29.0,10.6,16.5,40.977034120734906,5.5,40.5,9.8,40.3,16.549999999999997,46.5,32.0,26.1,46.6,26.2,24.99812608,28.295456226500004,1.694025935,0.17240087,29.86500519,1.921422426,216.2,250,0,2,1
"Grady County, Oklahoma",244.0,114,416.7,51199,54648.0,12.1,18.29893134,6,38.5,37.2,39.7,2.7,56.4,21.5,38.9,40.977034120734906,3.8,37.7,12.7,57.4,4.3,64.5,49.6,42.9,32.2,17.0,85.5051108,2.109602328,0.302171156,1.359770201,57.50165909,4.518903132,193.7,99,31,2,8
"Buena Vista city, Virginia",46.0,19,573.5,38331,6618.0,17.2,0.0,1,33.8,33.6,34.3,2.26,48.1,0.5,46.3,40.977034120734906,11.4,40.5,11.0,51.8,7.3,59.9,45.6,38.3,34.7,21.2,90.2790279,1.050105011,2.628021743,0.0,45.92619657,10.2772450535,240.8,30,41,2,6
"Jackson County, Michigan",883.0,354,473.5,46670,159494.0,15.4,201.76685685,4,40.5,39.0,42.0,2.48,48.0,16.8,30.4,40.977034120734906,4.6,34.8,13.7,50.7,10.3,67.9,50.2,45.9,38.8,19.9,87.54624153,8.525341295,0.664125339,0.480098148,48.6970012,5.040777373,193.8,118,17,0,0
"Marshall County, Indiana",245.0,96,448.8,52508,46857.0,10.9,201.76685685,6,39.5,37.5,41.5,2.67,54.8,28.0,33.2,40.977034120734906,6.7,40.5,11.5,59.2,8.3,65.7,52.9,47.3,30.1,16.4,93.33290746,0.589838593,0.623908692,3.91593203,54.84299238,5.134211811,163.7,154,9,0,0
"Carroll County, Indiana",103.0,43,414.4,55318,19856.0,10.9,0.0,7,41.5,40.8,42.4,2.55,57.3,21.1,49.0,40.977034120734906,4.9,41.3,11.4,57.9,8.2,72.2,56.9,50.4,27.7,11.9,97.80653543,0.339762166,0.189867093,0.28480064,56.89721545,5.682622023,166.3,36,9,0,0
"Gibson County, Tennessee",285.0,138,460.4,37498,49399.0,19.5,0.0,1,40.4,39.1,41.3,2.49,50.2,10.9,43.8,40.977034120734906,3.2,38.4,10.3,52.0,9.5,62.5,47.1,39.8,38.6,22.3,78.91551682,18.53465666,0.326797386,0.538610506,48.65545786,4.845775592,214.7,94,37,2,1
"Cherokee County, Iowa",83.0,29,438.1,52894,11574.0,9.6,201.76685685,6,46.6,44.5,48.5,2.14,55.2,21.4,41.2,40.977034120734906,4.0,35.6,14.4,62.6,3.7,78.5,55.2,44.7,33.6,11.8,97.30869822,0.455580866,0.109676875,0.194043702,48.48143982,3.505447655,135.4,42,10,0,7
"Carteret County, North Carolina",483.0,190,501.8,48824,68879.0,14.7,72.59106549,5,46.4,44.7,47.9,2.27,53.4,15.8,32.0,40.977034120734906,6.5,27.7,15.7,51.8,10.2,65.2,42.9,31.1,38.7,17.0,88.87553497,6.424048778,1.229700416,0.990795568,49.27109758,4.194102491,191.5,37,28,2,6
"Hancock County, Illinois",128.0,50,468.6,48767,18543.0,11.6,201.76685685,5,46.2,44.3,47.6,2.35,58.8,15.4,37.0,40.977034120734906,8.5,37.5,14.7,56.4,6.8,67.9,50.2,43.2,41.3,22.5,97.72654499,0.565695378,0.357562173,0.064040986,55.86364793,5.844875346,170.0,106,8,0,0
"Muhlenberg County, Kentucky",190.0,85,472.0,38916,31183.0,21.6,0.0,1,41.5,39.5,43.1,2.6,55.2,20.0,42.2,40.977034120734906,3.4,42.1,5.0,45.3,10.3,60.5,45.9,42.4,40.3,22.9,92.5899901,5.266856176,0.226771855,0.089431154,56.41736719,5.430404297,207.1,174,12,2,1
"Midland County, Texas",520.0,197,388.7,74146,161077.0,9.9,80.70674274,8,32.1,31.1,33.0,2.83,53.0,18.3,37.4,40.977034120734906,6.9,23.6,18.3,67.8,3.4,67.6,56.8,51.0,20.5,10.3,82.40663626,6.34014145,1.612135634,4.196506469,51.81577454,7.101472818,148.3,166,38,2,8
"Henry County, Alabama",115.0,47,484.0,39930,17221.0,17.3,0.0,1,43.0,41.7,45.1,2.47,53.1,16.4,43.8,40.977034120734906,8.5,35.5,9.4,49.7,8.1,61.9,42.2,35.8,41.8,22.0,70.36865291,28.295456226500004,0.0,0.38836077,51.47954743,7.114728275,194.1,111,0,2,1
"Bergen County, New Jersey",1113.5,354,468.1,74146,169831.5,7.6,201.76685685,8,41.5,40.0,42.9,2.73,54.2,10.1,25.0,40.977034120734906,16.6,24.3,26.849999999999998,61.4,6.5,75.5,64.3,57.8,23.3,11.8,70.42738549,5.833882094,2.628021743,4.196506469,56.4163314,4.077070131,147.3,16,25,1,2
"Grant County, Minnesota",1113.5,17,453.5494221,48179,5903.0,10.5,0.0,5,46.3,44.5,48.2,2.32,60.1,15.7,29.4,40.977034120734906,10.9,33.4,14.6,61.1,3.6,73.5,52.3,38.6,41.2,18.7,97.53397081,0.0,0.301962758,0.369065593,55.41501976,8.227848101,159.9,100,18,0,7
"White County, Arkansas",406.0,174,473.3,42044,79161.0,19.4,12.63248317,2,36.2,35.0,37.2,2.55,53.8,11.8,24.3,40.977034120734906,6.3,37.6,11.7,52.0,7.1,61.2,48.45377358490566,39.6,37.0,20.9,91.11873888,4.590643275,0.559369438,1.254767353,54.51299143,5.493655215,201.4,269,1,2,8
"Woods County, Oklahoma",48.0,14,452.6,48831,9304.0,14.3,0.0,5,33.9,32.0,37.5,2.37,47.4,10.8,22.6,40.977034120734906,11.2,33.5,16.9,58.8,2.8,74.7,59.2,51.0,27.1,12.1,89.73762869,3.21045057,0.708513229,0.708513229,47.75248103,4.912663755,125.3,273,31,2,8
"East Feliciana Parish, Louisiana",135.0,48,570.8,41651,19696.0,20.4,0.0,2,41.8,40.9,43.5,2.43,42.5,32.8,28.8,35.5,2.9,43.5,8.9,43.6,6.5,60.3,45.8,40.7,39.0,23.5,53.7446487,28.295456226500004,0.090657265,0.161168471,46.95113161,4.203655352,212.2,77,13,2,8
"Glades County, Florida",68.0,28,354.9,38783,13670.0,21.1,0.0,1,45.3,42.5,48.0,2.995,44.3,36.85,23.6,40.977034120734906,0.2,44.5,5.8,33.3,12.9,47.1,27.7,24.1,47.5,24.1,79.87492465,13.02742616,0.421940928,1.672694394,51.65816327,1.600365798,135.3,96,5,2,6
